question,provider,answer,references,latency
Â¿CuÃ¡les son los requisitos para solicitar una apelaciÃ³n acadÃ©mica por nota?,deepseek,"No encontré información sobre los requisitos específicos para solicitar una apelación académica por nota en la normativa UFRO disponible.

El contexto proporcionado incluye información sobre:
- Anulación de asignaturas [Documento: ReglamentodeRegimendeEstudios__2023_, Página: 19]
- Exámenes de suficiencia [Documento: ReglamentodeRegimendeEstudios__2023_, Página: 43]
- Solicitudes por razones de salud, económicas o familiares [Documento: ReglamentodeRegimendeEstudios__2023_, Página: 36]
- Normas complementarias y situaciones no contempladas [Documento: ReglamentodeRegimendeEstudios__2023_, Página: 51]

Sin embargo, no se encontraron disposiciones específicas sobre el proceso de apelación de notas académicas.

Referencias:
[Documento: ReglamentodeRegimendeEstudios__2023_, Página: 19]
[Documento: ReglamentodeRegimendeEstudios__2023_, Página: 36]
[Documento: ReglamentodeRegimendeEstudios__2023_, Página: 43]
[Documento: ReglamentodeRegimendeEstudios__2023_, Página: 51]","[ReglamentodeRegimendeEstudios__2023_, p.19], [ReglamentodeRegimendeEstudios__2023_, p.43], [ReglamentodeRegimendeEstudios__2023_, p.36]",13.29
Â¿CuÃ¡l es la fecha de inicio del semestre acadÃ©mico 2025 segÃºn el calendario oficial?,deepseek,"No encontré información sobre este tema en la normativa UFRO disponible.

Referencias:
- No se encontraron referencias específicas sobre fechas del calendario académico 2025 en los documentos proporcionados","[ReglamentodeRegimendeEstudios__2023_, p.15], [ReglamentodeRegimendeEstudios__2023_, p.26], [ReglamentodeRegimendeEstudios__2023_, p.21]",3.47
Â¿CuÃ¡ntos crÃ©ditos mÃ­nimos se requieren para titularse por plan antiguo?,deepseek,"No encontré información sobre este tema en la normativa UFRO disponible.

Referencias:
- No se encontraron referencias específicas sobre créditos mínimos para titulación en plan antiguo en los documentos proporcionados","[REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, p.16], [ReglamentodeRegimendeEstudios__2023_, p.12], [ReglamentodeRegimendeEstudios__2023_, p.12]",3.82
Â¿CuÃ¡l es el procedimiento para solicitar convalidaciÃ³n de asignaturas cursadas en otra instituciÃ³n?,deepseek,"No encontré información específica sobre el procedimiento para solicitar convalidación de asignaturas cursadas en otra institución en la normativa UFRO disponible.

El contexto proporcionado menciona brevemente la convalidación de asignaturas en el contexto de transferencia entre carreras [Documento: ReglamentodeRegimendeEstudios__2023_, Página: 40], pero no detalla el procedimiento específico para solicitar convalidación de estudios realizados en otras instituciones educativas.

Referencias:
[Documento: ReglamentodeRegimendeEstudios__2023_, Página: 40]","[ReglamentodeRegimendeEstudios__2023_, p.7], [ReglamentodeRegimendeEstudios__2023_, p.43], [ReglamentodeRegimendeEstudios__2023_, p.32]",6.94
Â¿QuÃ© oficinas deben contactarse si una estudiante sufre discriminaciÃ³n?,deepseek,"No encontré información sobre este tema en la normativa UFRO disponible.

Referencias:
- No se encontraron referencias específicas sobre oficinas de contacto para casos de discriminación en los documentos proporcionados","[ReglamentodeRegimendeEstudios__2023_, p.43], [REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, p.18], [ReglamentodeRegimendeEstudios__2023_, p.39]",4.29
Â¿CuÃ¡l es la polÃ­tica de asistencia mÃ­nima para rendir evaluaciÃ³n final?,deepseek,"No encontré información específica sobre política de asistencia mínima para rendir evaluación final en la normativa UFRO disponible.

El documento proporcionado menciona aspectos generales sobre asistencia:
- En asignaturas prácticas puede establecerse 100% de asistencia para actividades prácticas específicas
- En el aspecto teórico puede establecerse un mínimo de asistencia no mayor al 70%
- Las facultades pueden estipular porcentajes de asistencia mínima mediante Resolución Interna

Sin embargo, no se especifica una política de asistencia mínima particular para rendir evaluaciones finales.

Referencias:
[Documento: ReglamentodeRegimendeEstudios__2023_, Página: 33]","[ReglamentodeRegimendeEstudios__2023_, p.33], [ReglamentodeRegimendeEstudios__2023_, p.27], [ReglamentodeRegimendeEstudios__2023_, p.24]",7.97
Â¿CÃ³mo se solicita una prÃ³rroga para tesis de pregrado?,deepseek,"No encontré información sobre este tema en la normativa UFRO disponible.

Referencias:
- No se encontraron referencias específicas sobre el proceso de solicitud de prórroga para tesis de pregrado en los documentos proporcionados","[ReglamentodeRegimendeEstudios__2023_, p.36], [ReglamentodeRegimendeEstudios__2023_, p.51], [ReglamentodeRegimendeEstudios__2023_, p.43]",3.53
Â¿QuÃ© pasos seguir para denunciar un caso de plagio?,deepseek,"No encontré información sobre este tema en la normativa UFRO disponible.

Referencias:
- No se encontraron referencias específicas sobre procedimientos para denunciar casos de plagio en los documentos proporcionados del Reglamento de Convivencia Universitaria.","[REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, p.20], [REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, p.36], [REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, p.12]",3.56
Â¿CuÃ¡l es el lÃ­mite mÃ¡ximo de aÃ±os para completar una carrera?,deepseek,"No encontré información sobre el límite máximo de años para completar una carrera en la normativa UFRO disponible.

Referencias:
- No se encontraron referencias específicas sobre este tema","[ReglamentodeRegimendeEstudios__2023_, p.21], [ReglamentodeRegimendeEstudios__2023_, p.41], [ReglamentodeRegimendeEstudios__2023_, p.39]",3.58
Â¿CÃ³mo se solicita licencia acadÃ©mica por motivos de salud?,deepseek,"Según la normativa disponible, para solicitar licencia académica por motivos de salud en la Universidad de La Frontera, el(la) estudiante debe:

1. Presentar una solicitud escrita a la Dirección de Pregrado de su Facultad o autoridad equivalente
2. Señalar las razones debidamente fundamentadas que motivan su petición
3. Adjuntar los documentos probatorios que el estudiante estime pertinente o los que la autoridad requiera
4. Acreditar que no tiene obligaciones pendientes con la Universidad
5. Demostrar que su situación financiera se encuentra regularizada respecto al pago de aranceles de carrera
6. Realizar la solicitud dentro de los plazos establecidos en el calendario académico

**Referencias:**
[Documento: ReglamentodeRegimendeEstudios__2023_, Página: 36]","[ReglamentodeRegimendeEstudios__2023_, p.17], [ReglamentodeRegimendeEstudios__2023_, p.19], [ReglamentodeRegimendeEstudios__2023_, p.34]",9.28
Â¿QuÃ© documentos se requieren para optar a una beca interna por mÃ©rito acadÃ©mico?,deepseek,"No encontré información sobre los documentos requeridos para optar a una beca interna por mérito académico en la normativa UFRO disponible.

Referencias:
- No se encontraron referencias específicas sobre becas internas por mérito académico en los documentos proporcionados","[REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, p.12], [ReglamentodeRegimendeEstudios__2023_, p.36], [ReglamentodeRegimendeEstudios__2023_, p.38]",3.66
Â¿CuÃ¡l es el procedimiento para solicitar revisiÃ³n de nota (reclamaciÃ³n)?,deepseek,"No encontré información sobre el procedimiento específico para solicitar revisión de nota (reclamación) en la normativa UFRO disponible.

El contexto proporcionado menciona que existen reclamaciones de estudiantes que pueden afectar la mantención de evaluaciones hasta su resolución definitiva, pero no detalla el procedimiento para presentar dichas reclamaciones [Documento: ReglamentodeRegimendeEstudios__2023_, Página: 27].

Referencias:
- [Documento: ReglamentodeRegimendeEstudios__2023_, Página: 27]","[ReglamentodeRegimendeEstudios__2023_, p.27], [ReglamentodeRegimendeEstudios__2023_, p.17], [ReglamentodeRegimendeEstudios__2023_, p.43]",6.64
Â¿QuÃ© instancia define la equivalencia de tÃ­tulos extranjeros?,deepseek,"No encontré información sobre este tema en la normativa UFRO disponible.

Referencias:
- No se encontraron referencias específicas sobre equivalencia de títulos extranjeros en las páginas proporcionadas del Reglamento de Régimen de Estudios 2023","[ReglamentodeRegimendeEstudios__2023_, p.4], [ReglamentodeRegimendeEstudios__2023_, p.29], [ReglamentodeRegimendeEstudios__2023_, p.23]",4.44
Â¿CuÃ¡l es el plazo mÃ¡ximo para apelar una sanciÃ³n disciplinaria?,deepseek,"No encontré información sobre este tema en la normativa UFRO disponible.

Referencias:
- No se encontraron referencias específicas sobre plazos para apelar sanciones disciplinarias en los documentos proporcionados","[REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, p.31], [ReglamentodeRegimendeEstudios__2023_, p.27], [REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, p.14]",3.77
Â¿QuÃ© procedimiento seguir para solicitar certificado de alumno regular?,deepseek,"No encontré información sobre el procedimiento para solicitar certificado de alumno regular en la normativa UFRO disponible.

Referencias:
- [Documento: ReglamentodeRegimendeEstudios__2023_, Página: 17]
- [Documento: ReglamentodeRegimendeEstudios__2023_, Página: 36]
- [Documento: ReglamentodeRegimendeEstudios__2023_, Página: 43]
- [Documento: REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, Página: 25]","[ReglamentodeRegimendeEstudios__2023_, p.43], [ReglamentodeRegimendeEstudios__2023_, p.36], [REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, p.25]",7.04
Â¿CÃ³mo se tramita la baja voluntaria de un curso durante el semestre?,deepseek,"No encontré información sobre este tema en la normativa UFRO disponible.

Referencias:
- No se encontraron referencias específicas sobre el procedimiento de baja voluntaria de cursos durante el semestre en los documentos proporcionados","[ReglamentodeRegimendeEstudios__2023_, p.33], [ReglamentodeRegimendeEstudios__2023_, p.19], [ReglamentodeRegimendeEstudios__2023_, p.33]",3.56
Â¿QuÃ© reglas aplican para la preparaciÃ³n y defensa de memoria de tÃ­tulo?,deepseek,"No encontré información sobre este tema en la normativa UFRO disponible.

Referencias:
- No se encontraron referencias específicas sobre preparación y defensa de memoria de título en los documentos proporcionados","[ReglamentodeRegimendeEstudios__2023_, p.26], [ReglamentodeRegimendeEstudios__2023_, p.5], [ReglamentodeRegimendeEstudios__2023_, p.51]",3.98
Â¿CÃ³mo se solicita certificaciÃ³n de notas antiguas (mÃ¡s de 10 aÃ±os)?,deepseek,"No encontré información sobre este tema en la normativa UFRO disponible.

Referencias:
- No se encontraron referencias específicas sobre el proceso de solicitud de certificación de notas antiguas (más de 10 años) en los documentos proporcionados.","[ReglamentodeRegimendeEstudios__2023_, p.43], [ReglamentodeRegimendeEstudios__2023_, p.26], [ReglamentodeRegimendeEstudios__2023_, p.36]",3.71
Â¿QuÃ© medidas son aplicables ante suspensiÃ³n temporal por conducta?,deepseek,"Según la normativa disponible, cuando se aplica una suspensión temporal por conducta, existen medidas específicas que pueden implementarse:

**Medidas aplicables durante la suspensión:**

1. **Tutoría sustitutiva**: La persona denunciada podrá recibir tutoría sustitutiva de sus actividades lectivas, por medios compatibles con el cumplimiento de la medida de protección [REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, Página 31]

2. **Limitación de aplicación**: Esta medida de tutoría sustitutiva sólo podrá aplicarse en casos especialmente graves que hayan implicado violencia física y/o sexual [REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, Página 31]

**Procedimiento de comunicación:**
Las medidas adoptadas por quien ejerza de fiscal serán informadas a la Coordinación de Acogida y Seguimiento de Casos, Decanas o Decanos, Directoras o Directores de Escuela y/o Departamento, Directoras o Directores de Pre y Postgrado y de Carrera respectivos y unidades que corresponda [REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, Página 31]

**Referencias:**
- [REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, Página 31]","[REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, p.31], [REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, p.18], [REGLAMENTO-DE-CONVIVENCIA-UNIVERSITARIA, p.18]",13.24
Â¿QuÃ© oficina atiende consultas sobre reconocimiento de estudios tÃ©cnicos a tÃ­tulo profesional?,deepseek,"No encontré información sobre este tema en la normativa UFRO disponible.

Referencias:
- No se encontraron referencias específicas sobre oficinas que atiendan consultas sobre reconocimiento de estudios técnicos a título profesional en los documentos proporcionados.","[ReglamentodeRegimendeEstudios__2023_, p.43], [ReglamentodeRegimendeEstudios__2023_, p.37], [ReglamentodeRegimendeEstudios__2023_, p.23]",4.5
